student_id,name,gender,age,branch,year,city
ST055,Sneha C,Male,22,AIML,3,Kakinada
ST056,Sai D,Male,22,CSE,3,Vijayawada
ST057,Bhavya E,Male,21,EEE,3,Visakhapatnam
ST058,Rohit F,Male,20,CSE,3,Rajahmundry
ST059,Sai G,,20,IT,3,Visakhapatnam
ST060,Rahul H,Male,21,EEE,3,Guntur
ST061,Rahul I,Male,22,ECE,3,Nellore
ST062,Pooja J,Male,19,ECE,3,Rajahmundry
ST063,Sneha K,Female,22,ECE,3,Vijayawada
ST064,Lavanya L,Female,18,CSE,3,Rajahmundry
ST065,Priya M,Male,22,CSE,3,Rajahmundry
ST066,Keerthi N,Male,20,CSE,3,Rajahmundry
ST067,Varun O,Female,20,AIML,3,Guntur
ST068,Harsha P,Female,18,AIML,3,Visakhapatnam
ST069,Arjun Q,Female,19,IT,3,Eluru
ST070,Lavanya R,Male,18,AIML,3,Nellore
ST071,Lavanya S,Male,20,EEE,3,Nellore
ST072,Harsha T,Male,18,ECE,3,Visakhapatnam
ST073,Ananya U,Female,19,CSE,3,Guntur
ST074,Pooja V,Female,22,CSE,3,Kakinada
ST075,Sneha W,Male,21,AIML,3,Nellore
ST076,Vishal X,Female,19,ECE,3,Nellore
ST077,Priya Y,Female,18,IT,3,Kakinada
ST078,Kiran Z,Female,20,ECE,3,Kakinada
ST079,Divya A,Male,19,IT,3,Visakhapatnam
ST080,Rohit B,Male,20,ECE,3,Eluru
ST081,Lavanya C,Female,18,AIML,3,Rajahmundry
ST082,Sneha D,Female,18,AIML,3,Eluru
ST083,Pooja E,Female,21,EEE,3,Guntur
ST084,Sai F,Male,20,AIML,3,Eluru
ST085,Aarav G,Male,20,IT,3,Guntur
ST086,Vishal H,Female,18,ECE,3,Rajahmundry
ST087,Harsha I,Female,21,ECE,3,Nellore
ST088,Kiran J,Female,21,CSE,3,Rajahmundry
ST089,Sai K,Male,20,ECE,3,
ST090,Harsha L,Female,21,IT,3,Hyderabad
ST091,Kiran M,Female,19,AIML,3,Rajahmundry
ST092,Varun N,Female,18,CSE,3,Rajahmundry
ST093,Divya O,Male,19,AIML,3,Vijayawada
ST094,Divya P,Female,22,AIML,3,Hyderabad
ST095,Harsha Q,Male,21,IT,3,Eluru
ST096,Divya R,Male,18,AIML,3,Eluru
ST097,Divya S,Male,22,IT,3,Vijayawada
ST098,Lavanya T,Male,18,IT,3,Nellore
ST099,Nikhil U,Female,21,EEE,3,Eluru
ST100,Lavanya V,Female,19,IT,3,Hyderabad
ST101,Rohit W,Male,20,EEE,3,Hyderabad
ST102,Divya X,Female,21,AIML,3,Rajahmundry
ST103,Divya Y,Female,20,ECE,3,Guntur
ST104,Arjun Z,Male,19,IT,3,Nellore
ST105,Kiran A,Male,21,IT,3,Visakhapatnam
ST106,Lavanya B,Female,21,AIML,3,Kakinada
ST107,Harsha C,Female,22,AIML,3,Eluru
ST108,Swathi D,Male,20,ECE,3,Eluru
ST109,Harsha E,Male,21,CSE,3,Rajahmundry
ST110,Harsha F,Female,18,IT,3,Visakhapatnam
ST111,Sai G,Male,21,CSE,3,Vijayawada
ST112,Sai H,Male,18,IT,3,Nellore
ST113,Nikhil I,Male,18,ECE,3,Eluru
ST114,Vishal J,Male,21,ECE,3,Visakhapatnam
ST115,Sai K,Female,21,ECE,3,Guntur
ST116,Swathi L,Male,22,AIML,3,Visakhapatnam
ST117,Divya M,Male,18,AIML,3,Kakinada
ST118,Kiran N,Male,22,CSE,3,Kakinada
ST119,Arjun O,Female,18,EEE,3,Kakinada
ST120,Nikhil P,Female,20,CSE,3,Guntur
ST121,Sneha Q,Female,18,EEE,3,Vijayawada
ST122,Keerthi R,Female,21,CSE,3,Guntur
ST123,Manoj S,Male,18,ECE,3,Guntur
ST124,Manoj T,Male,20,EEE,3,Eluru
ST125,Pooja U,Male,22,ECE,3,Vijayawada
ST126,Harsha V,Female,18,IT,3,Visakhapatnam
ST127,Nikhil W,Male,21,CSE,3,Rajahmundry
ST128,Bhavya X,Female,21,IT,3,Rajahmundry
ST129,Vishal Y,Male,18,ECE,3,Hyderabad
ST130,Divya Z,Female,22,EEE,3,Eluru
ST131,Vishal A,Male,21,ECE,3,Nellore
ST132,Swathi B,Male,20,ECE,3,Visakhapatnam
ST133,Rohit C,Female,22,AIML,3,Kakinada
ST134,Rahul D,Male,21,IT,3,Kakinada
ST135,Swathi E,Female,21,AIML,3,Guntur
ST136,Keerthi F,Male,21,CSE,3,Rajahmundry
ST137,Manoj G,Female,21,EEE,3,Visakhapatnam
ST138,Harsha H,Female,20,IT,3,Rajahmundry
ST139,Keerthi I,Female,19,AIML,3,Kakinada
ST140,Vishal J,Male,22,CSE,3,Kakinada
ST141,Kiran K,Female,20,EEE,3,Rajahmundry
ST142,Priya L,Male,20,CSE,3,Visakhapatnam
ST143,Sneha M,Female,18,EEE,3,Nellore
ST144,Rohit N,Male,18,EEE,3,Rajahmundry
ST145,Arjun O,Female,18,AIML,3,Rajahmundry
ST146,Swathi P,Female,21,ECE,3,Nellore
ST147,Ananya Q,Female,21,AIML,3,Guntur
ST148,Sai R,Female,18,EEE,3,Vijayawada
ST149,Arjun S,Male,22,ECE,3,Guntur
ST150,Divya T,Male,22,IT,3,Kakinada
ST021,Divya U,Male,22,IT,3,Guntur
